,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Population by Planning Area/Subzone of Residence, Age Group and Sex (Census of Population 2020)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Number,
Planning Area/Subzone of Residence,Total,,,,,,,,,,,,,,,,,,,,
,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,
Ang Mo Kio - Total,162280,5280,6100,7030,7600,8680,10320,10490,10420,11350,12410,11860,12780,12730,11960,9930,5770,4150,2280,1130,
Bedok - Total,276990,9790,11490,12810,14080,16050,18870,18360,17730,19500,21090,20050,21950,21860,19030,15230,8020,5810,3310,1970,
Bishan - Total,87320,2790,3720,4300,4630,5240,6930,5730,5090,5750,6720,6290,6960,7130,5850,4390,2430,1760,1050,560,
Boon Lay - Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Bukit Batok - Total,158030,7920,6820,7690,8570,9800,12480,13630,10980,10660,11680,11900,12500,11750,9330,5800,2880,1940,1130,590,
Bukit Merah - Total,151250,5970,6470,6670,6130,6640,8890,10540,10650,11750,11830,10630,10670,11110,10220,9130,5620,4410,2400,1530,
Bukit Panjang - Total,138270,6250,7090,7310,8150,9290,10530,10460,10100,9360,10490,10100,11250,10280,7370,4790,2400,1670,890,490,
Bukit Timah - Total,77860,3130,4900,4950,4850,4630,4570,4120,4800,5790,6730,6060,5310,4950,4220,3650,2160,1590,920,550,
Central Water Catchment - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Changi- Total,1850,130,140,150,110,100,90,140,150,170,160,130,100,100,70,60,20,20,10,10,
Changi Bay - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Choa Chu Kang - Total,192070,8990,9280,10210,12090,15450,16610,14430,13200,12640,14130,16080,16140,12760,8590,5380,2680,1840,1040,540,
Clementi - Total,91990,3760,4340,4650,4470,4650,5110,5920,6800,7260,7420,6520,6400,6080,6260,5660,2960,2130,1040,570,
Downtown Core - Total,3190,110,110,60,100,100,230,330,410,340,330,250,220,190,130,130,50,50,20,60,
Geylang - Total,110110,3960,4270,4800,4840,5750,7930,8280,7810,7840,8190,7850,8600,8800,7300,5690,3240,2580,1500,890,
Hougang - Total,227560,9110,9450,10320,11520,14160,17590,17190,15470,15090,16500,16610,19030,18620,14540,10130,5290,3790,2080,1080,
Jurong East - Total,78600,2510,2900,3530,4160,4760,5700,5370,5090,5210,5860,5640,6220,6680,5950,4410,2050,1410,750,390,
Jurong West - Total,262730,10580,13000,14990,16110,17400,19300,18330,19890,20880,21220,20120,19360,17820,14550,9650,4560,2820,1420,730,
Kallang - Total,101290,3930,4130,4100,4280,4560,5980,7180,7290,7830,8140,7320,7490,7750,6930,5760,3420,2760,1430,1000,
Lim Chu Kang - Total,110,10,-,10,10,10,10,-,10,-,10,10,10,10,10,10,-,-,-,-,
Mandai - Total,2090,60,90,120,130,170,170,120,130,140,190,160,180,150,90,80,40,30,20,10,
Marina East - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Marina South - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Marine Parade - Total,46220,1890,2420,2420,2360,2390,2500,2390,3070,3730,4150,3440,3270,3020,2560,2480,1550,1340,750,490,
Museum - Total,510,20,30,10,20,20,30,50,70,60,60,40,40,20,20,20,10,-,-,10,
Newton - Total,8260,380,590,520,380,340,390,470,620,770,850,690,600,470,400,370,160,120,90,60,
North-Eastern Islands - Total,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Novena - Total,49330,2170,2890,2620,2270,2400,2800,3270,3670,4170,4330,3610,3400,3070,2710,2280,1410,1140,710,430,
Orchard - Total,920,50,50,60,40,30,30,60,70,90,100,70,50,70,60,50,20,20,-,-,
Outram - Total,18340,650,800,750,530,680,900,1070,1270,1500,1430,1230,1400,1460,1360,1250,710,660,340,360,
Pasir Ris - Total,147110,5690,6550,7700,9360,12450,13400,9040,8890,9790,10850,13010,13830,10200,6750,4330,2230,1620,920,520,
Paya Lebar - Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Pioneer - Total,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Punggol - Total,174450,16160,15330,11410,8570,6820,8330,17200,22190,17420,14040,9290,7890,6440,5370,3990,1900,1190,620,330,
Queenstown - Total,95930,3980,4280,4190,4120,4620,5910,6640,7180,7300,7430,6850,6850,6260,5720,5420,3480,3000,1760,930,
River Valley - Total,10070,450,610,560,530,410,530,600,850,1040,1080,880,650,570,450,400,220,140,60,60,
Rochor - Total,13120,410,430,480,520,590,760,920,970,1070,1110,930,960,1020,910,790,490,350,230,210,
Seletar - Total,300,10,10,20,20,30,10,10,10,20,40,40,30,20,10,10,-,10,-,-,
Sembawang - Total,102640,6310,5820,6400,6400,6030,7690,9130,8570,8630,8960,7310,6720,5530,3790,2370,1330,900,520,260,
Sengkang - Total,249370,16380,17600,15930,13630,13180,14320,21500,25100,22600,20390,15940,14960,13640,10070,6820,3390,2160,1130,660,
